"November 14, 2020",50,Really tasty food,"Really tasty food, reasonable price. We wanted to sit outside because of the current situations but the heaters were apparently not enough. We were a bit cold. Still enjoyed the meal."
"October 16, 2020",50,Amazing restaurant!,I love the chicken tikka masala at this restaurant! The inside is very modern and they have done a good job of handling safety and social distancing.
"October 15, 2020",50,Outstanding,Nisar was welcoming and a great host will definitely return due to his immaculate service. They also offer several nice beers.
"October 2, 2020",50,Lunch at Spice Symphony,Had a wonderful lunch with a friend here this afternoon. The food was excellent and our server Nisar looked after us very well. Followed all COVID guidelines. Will definitely visit again.
"September 30, 2020",50,Excellent Indian food,"The food was extremely flavorful and tasty. We ordered manchow soup, chicken lollipop, paneer chilli as appetizers and goat biryani as main course. The indo- Chinese dishes were amazing. Special shoutout for the goat biryani. It’s a must try!!! Service was excellent- thank you Nisar!!"
"September 19, 2020",50,Best indochinese food in nyc,This is out favorite indochinese restaurant in the city. Highly recommend their chicken lollipop. Service is always great. Nasir is the best! Highly recommend it
"August 17, 2020",50,The best Indian food in NYC with outdoor dining,"Amazing food. So happy the scaffolding has come down and they have outdoor dining. Was actually bright and quite pleasant, with music and all. Missed my chicken korma during quarantine and no one does it better than Spice Symphony!"
"August 13, 2020",50,Best Indian food in New York,This is the second time I have a meal here at the restaurant and both times it was excellent. Whenever I travel to New York this is on my list of places to eat. Highly recommended
"July 22, 2020",50,Spicy 🔥,"I am not big fan of spicy food , but this was really great ! The staff was friendly and helpful ,, Highly recommended"
"May 14, 2020",50,Vijay and Eggy were awesome,Great experience. I particularly enjoyed the warmth and friendliness of Eggy. The food came out in an elegant manner and I was treated with respect and promptness. I cannot overstate Eggy's help in making my stay warm with his smile.
"February 26, 2020",50,One of the Best Indian Restaurants in the US,One of the best Indian restaurants we have found in the US. Delicious curries served in a classy dining room with outstanding service provided by professional waiters. Our waiter Vijay made our evening very special.
"February 25, 2020",40,Lunch,"Good place ,nice ambience and great food . Attended to nicely by Nisar ! Dessert was yummy and so was mango lassi !"
"February 23, 2020",40,Delicious Indian Food,Great prefixe lunch menu with options for vegetarians. Service was excellent and staff very accommodating.
"February 22, 2020",50,Nice change of pace,Had a guest who was vegetarian. Was late getting into town. I hadn’t been a big fan of indian food but it meet our needs. I was pleasantly surprised and was a wonderful place and get collection of foods to try.
"February 19, 2020",50,Highly recommend!,"Great food and service! We had a mix of Indian and Chinese dishes, and everything came out perfect. Our waiter - Nisar - was wonderful."
"February 16, 2020",50,"Amazing food, great ambience and friendly service","Came here for lunch after hearing recommendations from friends about this place. We tried several Indo-Chinese dishes and found the flavors and spices to our liking. Our server, Nissar, provided excellent service. Will definitely be coming back!"
"February 15, 2020",40,Dinner,"Reserved for 5 pm early dinner. Pleasant decor. Courteous service. Valentine's day menu .. loved the paneer appetizer. Nisar the captain did make our evening friendly, despite the confusion .. food was ok. But the kulfi desert was excellent. Definitely recommend this place."
"February 13, 2020",50,Amazing!,We ate here last night and the food was absolutely amazing and for such a good price! We were served by Nisar who was great and very attentive. Would definitely recommend.
"February 6, 2020",50,"Quiet, elegant, excellent","Terrific food, unbelievably good service. Much better than the neighboring curry Hill restaurants. Will certainly return."
"February 2, 2020",50,Wonderful experience,"My family and I went here for my birthday. Both my parents and I have a long list of allergies and dietary restrictions, and Nisar made sure all of our needs were met. The service is wonderfully personal, highly recommend."
"February 1, 2020",40,Delightful food Great quality,Delightful food Great quality Lovely choices Curry was lovely and breads are great Waiter was quite blunt and not the politest
"January 27, 2020",40,Excellent,"Excellent, 2nd visit in 2 days whilst in downtown Manhattan. Food is great and service is maybe too good, seems to be a rush. Only reason why I gave 4 stars instead of 5!"
"January 26, 2020",50,"Great food, great atmosphere","Stumbled on this restaurant after a long day outing with my sister/friend. Great food, great service. Highly recommend this location if you LOVE Indian food. Prices were reasonable and appetizers are filling. Will gladly return next time I am in the city."
"January 25, 2020",50,Amazing food and service!,Amazing food and service! Nasar was an amazing server and I highly recommend the Ginger Garlic Chicken!
"January 25, 2020",50,Food was delicious!,Food was delicious. I’m not vegetarian but my wife and I both had vegetarian dishes. Both were very good. Service was great and waiters were helpful in ordering. We also had the chicken popsicle appetizer and really enjoyed it. We would definitely come again.
"January 24, 2020",50,Excellent Indian Food,Amazing little gem. Service was outstanding. Our waiter Nisar was very gracious and made our evening. We'll definitely be back for dinner!
"January 23, 2020",50,Lunch,Had lunch Jan 2020. I was the only one seated inside but a brisk take out volume was observed. The vegetarian curry with rice and naan bread was great. I was well cared for by my server Nisan.
"January 23, 2020",50,Great Service,"Great tasting food, ambience and very attentive staff. Mr Nesar was quite helpful with the menu and even caught up with me after I left a personal item behind on my way out."
"January 21, 2020",50,Delivery on point,"Delivery was what so many places aren't: Fast, Hot, Tasty and the correct order. I will be back again."
"January 19, 2020",50,Best Indian food in NYC,"Our first trip for Indian food in New York City, I had the goat and my wife had the chicken tandoori! Everything was delicious, the staff was very knowledgeable and attentive, and we could not of had a better experience. Ask for Aldi."
"January 18, 2020",50,What a great night!,"Maitre d’hôtel was a stand out. Excellent service, great food and most of all, we felt at home. A sure thing in my book. Prices are fair and nobody in our group of eight were disappointed."
"January 17, 2020",50,Everything was so delicious!,"Everything was so delicious! Hidden gem in the heart of NYC. Service is fabulous, Nisar was very friendly and informative, even put us at a different table so we could have a enough room to enjoy our food! Definitely recommend."
